"path","expected_fen","source","style","layout_type","seed","orientation"
"evaluation/real_images/real_001_wood_initial_red_bottom.jpg","rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR","real-photo-v1","wood","initial","real_001_wood_initial_red_bottom","red_bottom"
"evaluation/real_images/real_002_wood_initial_red_top.jpeg","rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR","real-photo-v1","wood","initial","real_002_wood_initial_red_top","red_top"
"evaluation/real_images/real_003_plastic_initial_red_top.jpg","rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR","real-photo-v1","plastic","initial","real_003_plastic_initial_red_top","red_top"
"evaluation/real_images/real_004_screen_initial_red_bottom.png","rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR","real-photo-v1","screen","initial","real_004_screen_initial_red_bottom","red_bottom"
"evaluation/real_images/real_005_wood_opening_red_bottom.jpg","rnbakabr1/9/1c4nc1/p1p1p2Rp/6p2/9/P1P1P1P1P/1C2C1N2/9/RNBAKAB2","real-photo-v1","wood","opening","real_005_wood_opening_red_bottom","red_bottom"
"evaluation/real_images/real_006_wood_endgame_red_bottom.jpg","4ka3/9/9/9/9/9/9/4N4/9/4K4","real-photo-v1","wood","endgame","real_006_wood_endgame_red_bottom","red_bottom"
"evaluation/real_images/real_007_wood_initial_red_bottom.jpg","rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR","real-photo-v1","wood","initial","real_007_wood_initial_red_bottom","red_bottom"
"evaluation/real_images/real_008_plastic_midgame_red_bottom.jpg","1rbak4/4a4/1cn1b4/p1p1p3p/9/2P3p2/P1N5P/4C1nC1/3RK4/1RBA1rBc1","real-photo-v1","plastic","midgame","real_008_plastic_midgame_red_bottom","red_bottom"
"evaluation/real_images/real_009_wood_initial_red_top.png","rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR","real-photo-v1","wood","initial","real_009_wood_initial_red_top","red_top"
"evaluation/real_images/real_010_unknown_initial_red_bottom.jpg","rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR","real-photo-v1","unknown","initial","real_010_unknown_initial_red_bottom","red_bottom"
"evaluation/real_images/real_011_screen_endgame_red_bottom_01.png","3aka3/9/9/2p4N1/2r6/2B6/9/3A5/4A4/1C3K3","real-photo-v1","screen","endgame","real_011_screen_endgame_red_bottom_01","red_bottom"
"evaluation/real_images/real_012_screen_endgame_red_bottom_02.png","3k1a3/4a4/9/9/9/9/9/3p5/4C4/3KCRR2","real-photo-v1","screen","endgame","real_012_screen_endgame_red_bottom_02","red_bottom"
"evaluation/real_images/real_013_screen_endgame_red_bottom_03.png","4k4/C4R3/9/9/9/5R2P/4r4/4B3B/4p2r1/5K3","real-photo-v1","screen","endgame","real_013_screen_endgame_red_bottom_03","red_bottom"
"evaluation/real_images/real_014_screen_endgame_red_bottom_04.png","9/4aR3/3k1a2b/9/6b2/9/9/9/9/4K4","real-photo-v1","screen","endgame","real_014_screen_endgame_red_bottom_04","red_bottom"
"evaluation/real_images/real_015_screen_endgame_red_top_01.png","4k4/5R1C1/5R3/9/9/9/9/9/4r1r2/5K3","real-photo-v1","screen","endgame","real_015_screen_endgame_red_top_01","red_top"
"evaluation/real_images/real_016_screen_endgame_red_top_02.png","4k4/9/9/p8/8p/9/8P/5A3/4A4/r3K4","real-photo-v1","screen","endgame","real_016_screen_endgame_red_top_02","red_top"
"evaluation/real_images/real_017_wood_initial_red_top.jpg","rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR","real-photo-v1","wood","initial","real_017_wood_initial_red_top","red_top"
"evaluation/real_images/real_018_plastic_empty_unknown.png","9/9/9/9/9/9/9/9/9/9","real-photo-v1","plastic","empty","real_018_plastic_empty_unknown","unknown"
