path,expected_fen,source,style,layout_type,seed,orientation
evaluation/generated_v2/board_000_classic_initial.png,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,standard-eval-v2,classic,initial,90000,red_bottom
evaluation/generated_v2/board_001_wood_initial.png,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,standard-eval-v2,wood,initial,90001,red_top
evaluation/generated_v2/board_002_plastic_initial.png,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,standard-eval-v2,plastic,initial,90002,red_bottom
evaluation/generated_v2/board_003_classic_empty.png,9/9/9/9/9/9/9/9/9/9,standard-eval-v2,classic,empty,90003,red_top
evaluation/generated_v2/board_004_wood_empty.png,9/9/9/9/9/9/9/9/9/9,standard-eval-v2,wood,empty,90004,red_bottom
evaluation/generated_v2/board_005_plastic_midgame.png,r3k2n1/9/7c1/2p5p/1c1a3C1/4nA1r1/P3B2BP/4C4/1R4P2/3AK3R,standard-eval-v2,plastic,midgame,90005,red_top
evaluation/generated_v2/board_006_classic_midgame.png,r2akabn1/9/1c5c1/pRp1p3R/9/9/2P1P3P/1C5C1/5P3/2B1KAN2,standard-eval-v2,classic,midgame,90006,red_bottom
evaluation/generated_v2/board_007_wood_midgame.png,r3kabn1/9/1c5n1/2p5p/2P6/8C/P1r3P2/NC7/A8/R1BAK2NR,standard-eval-v2,wood,midgame,90007,red_top
evaluation/generated_v2/board_008_plastic_midgame.png,2bak2nr/9/1c7/8p/1c7/r7N/2P1P3P/1C5C1/6B2/R1BAK2N1,standard-eval-v2,plastic,midgame,90008,red_bottom
evaluation/generated_v2/board_009_classic_midgame.png,r1baka1n1/9/1c3c3/2p3p1p/7PC/2P6/6P2/3B3C1/9/1N1AK3R,standard-eval-v2,classic,midgame,90009,red_top
evaluation/generated_v2/board_010_wood_midgame.png,r2akcb2/6n2/7c1/3p5/4r4/3PBp3/Aa7/1C2P4/1A7/1N2K1B1R,standard-eval-v2,wood,midgame,90010,red_bottom
